match_id,hero_0,hero_1,hero_2,hero_3,hero_4,hero_5,hero_6,hero_7,hero_8,hero_9,match_time,game_stage,counter,net_worth_diff,exp_diff,score_diff,radiant_win
6166227982,weaver,pugna,juggernaut,lion,slark,kunkka,skywrath-mage,zeus,phantom-assassin,huskar,00:15:20,early game,0.43,-6725,-7989,-12,0.0
6166227982,weaver,pugna,juggernaut,lion,slark,kunkka,skywrath-mage,zeus,phantom-assassin,huskar,00:23:48,mid game,0.43,-11796,-16704,-18,0.0
6166227982,weaver,pugna,juggernaut,lion,slark,kunkka,skywrath-mage,zeus,phantom-assassin,huskar,00:33:45,late game,0.43,-9969,-8577,-18,0.0
6166227982,weaver,pugna,juggernaut,lion,slark,kunkka,skywrath-mage,zeus,phantom-assassin,huskar,00:44:46,superlate game,0.43,-22440,-32339,-23,0.0
6166228281,snapfire,faceless-void,bristleback,spirit-breaker,dazzle,sniper,rubick,mars,chaos-knight,earthshaker,00:08:32,early game,-1.73,951,868,8,1.0
6166228281,snapfire,faceless-void,bristleback,spirit-breaker,dazzle,sniper,rubick,mars,chaos-knight,earthshaker,00:18:17,mid game,-1.73,4713,7201,15,1.0
6166228281,snapfire,faceless-void,bristleback,spirit-breaker,dazzle,sniper,rubick,mars,chaos-knight,earthshaker,00:32:57,late game,-1.73,18855,33205,23,1.0
6166228281,snapfire,faceless-void,bristleback,spirit-breaker,dazzle,sniper,rubick,mars,chaos-knight,earthshaker,00:37:15,superlate game,-1.73,14265,22009,20,1.0
6166236272,oracle,phantom-lancer,invoker,lina,void-spirit,sand-king,silencer,faceless-void,shadow-fiend,dark-willow,00:11:34,early game,4.99,-1588,-1318,2,0.0
6166236272,oracle,phantom-lancer,invoker,lina,void-spirit,sand-king,silencer,faceless-void,shadow-fiend,dark-willow,00:24:38,mid game,4.99,-5228,-8398,2,0.0
6166236272,oracle,phantom-lancer,invoker,lina,void-spirit,sand-king,silencer,faceless-void,shadow-fiend,dark-willow,00:36:20,late game,4.99,-8225,-10312,0,0.0
6166236272,oracle,phantom-lancer,invoker,lina,void-spirit,sand-king,silencer,faceless-void,shadow-fiend,dark-willow,00:51:20,superlate game,4.99,-3603,-26636,-2,0.0
6166236676,dazzle,windranger,riki,vengeful-spirit,axe,silencer,clockwerk,witch-doctor,ursa,wraith-king,00:16:52,early game,-2.77,-649,720,3,1.0
6166236676,dazzle,windranger,riki,vengeful-spirit,axe,silencer,clockwerk,witch-doctor,ursa,wraith-king,00:20:55,mid game,-2.77,-2137,-3155,0,1.0
6166236676,dazzle,windranger,riki,vengeful-spirit,axe,silencer,clockwerk,witch-doctor,ursa,wraith-king,00:29:29,late game,-2.77,284,5337,5,1.0
6166236676,dazzle,windranger,riki,vengeful-spirit,axe,silencer,clockwerk,witch-doctor,ursa,wraith-king,00:42:14,superlate game,-2.77,14428,30605,10,1.0
6166239434,jakiro,tinker,sniper,bristleback,ogre-magi,naga-siren,dark-willow,abaddon,medusa,earthshaker,00:16:38,early game,9.17,-1976,-4725,1,0.0
6166239434,jakiro,tinker,sniper,bristleback,ogre-magi,naga-siren,dark-willow,abaddon,medusa,earthshaker,00:26:28,mid game,9.17,-8197,-16697,-5,0.0
6166239434,jakiro,tinker,sniper,bristleback,ogre-magi,naga-siren,dark-willow,abaddon,medusa,earthshaker,00:35:23,late game,9.17,-6343,-11761,-3,0.0
6166239434,jakiro,tinker,sniper,bristleback,ogre-magi,naga-siren,dark-willow,abaddon,medusa,earthshaker,00:37:36,superlate game,9.17,-6786,-12495,-4,0.0
6166242248,lone-druid,techies,pangolier,lifestealer,legion-commander,dark-willow,mars,windranger,anti-mage,shadow-fiend,00:11:57,early game,8.37,-3124,-2691,-8,1.0
6166242248,lone-druid,techies,pangolier,lifestealer,legion-commander,dark-willow,mars,windranger,anti-mage,shadow-fiend,00:17:20,mid game,8.37,-2123,-605,-4,1.0
6166242248,lone-druid,techies,pangolier,lifestealer,legion-commander,dark-willow,mars,windranger,anti-mage,shadow-fiend,00:31:49,late game,8.37,-6597,-12593,-3,1.0
6166242248,lone-druid,techies,pangolier,lifestealer,legion-commander,dark-willow,mars,windranger,anti-mage,shadow-fiend,00:37:52,superlate game,8.37,-12302,-17748,-5,1.0
6166244852,crystal-maiden,pudge,void-spirit,juggernaut,lich,hoodwink,enchantress,anti-mage,sniper,earthshaker,00:05:01,early game,1.5,-626,-496,-1,1.0
6166244852,crystal-maiden,pudge,void-spirit,juggernaut,lich,hoodwink,enchantress,anti-mage,sniper,earthshaker,00:19:04,mid game,1.5,-1245,-1500,4,1.0
6166244852,crystal-maiden,pudge,void-spirit,juggernaut,lich,hoodwink,enchantress,anti-mage,sniper,earthshaker,00:27:01,late game,1.5,2801,10751,13,1.0
6166244852,crystal-maiden,pudge,void-spirit,juggernaut,lich,hoodwink,enchantress,anti-mage,sniper,earthshaker,00:40:11,superlate game,1.5,-1222,10463,17,1.0
6166246081,shadow-shaman,razor,witch-doctor,sven,huskar,storm-spirit,juggernaut,lich,keeper-of-the-light,underlord,00:03:57,early game,10.92,-671,-287,-1,0.0
6166246081,shadow-shaman,razor,witch-doctor,sven,huskar,storm-spirit,juggernaut,lich,keeper-of-the-light,underlord,00:23:58,mid game,10.92,1427,3544,2,0.0
6166246081,shadow-shaman,razor,witch-doctor,sven,huskar,storm-spirit,juggernaut,lich,keeper-of-the-light,underlord,00:27:24,late game,10.92,-3791,-7668,-5,0.0
6166246081,shadow-shaman,razor,witch-doctor,sven,huskar,storm-spirit,juggernaut,lich,keeper-of-the-light,underlord,00:38:50,superlate game,10.92,-8175,-20095,-10,0.0
6166247762,dark-seer,faceless-void,wraith-king,mirana,sniper,keeper-of-the-light,dazzle,bristleback,riki,invoker,00:01:20,early game,-7.6,188,300,0,0.0
6166247762,dark-seer,faceless-void,wraith-king,mirana,sniper,keeper-of-the-light,dazzle,bristleback,riki,invoker,00:26:53,mid game,-7.6,-7192,-8757,-3,0.0
6166247762,dark-seer,faceless-void,wraith-king,mirana,sniper,keeper-of-the-light,dazzle,bristleback,riki,invoker,00:30:23,late game,-7.6,-5667,-5081,0,0.0
6166247762,dark-seer,faceless-void,wraith-king,mirana,sniper,keeper-of-the-light,dazzle,bristleback,riki,invoker,00:40:16,superlate game,-7.6,-16010,-19728,-9,0.0
6166250422,invoker,crystal-maiden,sven,lina,lion,elder-titan,shadow-shaman,slark,legion-commander,void-spirit,00:08:43,early game,8.79,1450,676,2,1.0
6166250422,invoker,crystal-maiden,sven,lina,lion,elder-titan,shadow-shaman,slark,legion-commander,void-spirit,00:26:33,mid game,8.79,123,-2083,-2,1.0
6166250422,invoker,crystal-maiden,sven,lina,lion,elder-titan,shadow-shaman,slark,legion-commander,void-spirit,00:31:24,late game,8.79,3384,5615,1,1.0
6166250422,invoker,crystal-maiden,sven,lina,lion,elder-titan,shadow-shaman,slark,legion-commander,void-spirit,00:44:25,superlate game,8.79,6999,13869,5,1.0
6166250663,spectre,lich,viper,bristleback,lion,dawnbreaker,weaver,phoenix,earthshaker,terrorblade,00:01:33,early game,-2.75,449,320,1,1.0
6166250663,spectre,lich,viper,bristleback,lion,dawnbreaker,weaver,phoenix,earthshaker,terrorblade,00:22:23,mid game,-2.75,102,-354,0,1.0
6166250663,spectre,lich,viper,bristleback,lion,dawnbreaker,weaver,phoenix,earthshaker,terrorblade,00:31:10,late game,-2.75,4241,7242,4,1.0
6166250663,spectre,lich,viper,bristleback,lion,dawnbreaker,weaver,phoenix,earthshaker,terrorblade,00:46:04,superlate game,-2.75,17480,33204,16,1.0
6166254740,faceless-void,kunkka,juggernaut,witch-doctor,silencer,pudge,keeper-of-the-light,mars,vengeful-spirit,wraith-king,00:02:41,early game,0.63,372,716,1,1.0
6166254740,faceless-void,kunkka,juggernaut,witch-doctor,silencer,pudge,keeper-of-the-light,mars,vengeful-spirit,wraith-king,00:19:42,mid game,0.63,521,-878,-1,1.0
6166254740,faceless-void,kunkka,juggernaut,witch-doctor,silencer,pudge,keeper-of-the-light,mars,vengeful-spirit,wraith-king,00:35:51,late game,0.63,-6007,-14359,-10,1.0
6166254740,faceless-void,kunkka,juggernaut,witch-doctor,silencer,pudge,keeper-of-the-light,mars,vengeful-spirit,wraith-king,00:41:49,superlate game,0.63,2311,7197,-4,1.0
6166257036,slark,windranger,pudge,lion,shadow-shaman,outworld-destroyer,lina,sniper,magnus,techies,00:16:54,early game,-0.94,411,1238,5,1.0
6166257036,slark,windranger,pudge,lion,shadow-shaman,outworld-destroyer,lina,sniper,magnus,techies,00:22:42,mid game,-0.94,5325,9086,14,1.0
6166257036,slark,windranger,pudge,lion,shadow-shaman,outworld-destroyer,lina,sniper,magnus,techies,00:33:45,late game,-0.94,9267,17353,20,1.0
6166257036,slark,windranger,pudge,lion,shadow-shaman,outworld-destroyer,lina,sniper,magnus,techies,00:40:34,superlate game,-0.94,19324,36375,26,1.0
6166257380,anti-mage,sven,silencer,zeus,bounty-hunter,sniper,spirit-breaker,monkey-king,slardar,dark-willow,00:09:38,early game,-7.86,58,-1041,-3,1.0
6166257380,anti-mage,sven,silencer,zeus,bounty-hunter,sniper,spirit-breaker,monkey-king,slardar,dark-willow,00:22:33,mid game,-7.86,2348,-637,-9,1.0
6166257380,anti-mage,sven,silencer,zeus,bounty-hunter,sniper,spirit-breaker,monkey-king,slardar,dark-willow,00:29:59,late game,-7.86,2666,2711,-9,1.0
6166257380,anti-mage,sven,silencer,zeus,bounty-hunter,sniper,spirit-breaker,monkey-king,slardar,dark-willow,00:38:43,superlate game,-7.86,6389,1323,-10,1.0
6166259507,luna,lion,hoodwink,undying,spectre,tidehunter,earthshaker,ursa,sniper,lycan,00:16:21,early game,3.27,-600,-600,-2,1.0
6166259507,luna,lion,hoodwink,undying,spectre,tidehunter,earthshaker,ursa,sniper,lycan,00:25:10,mid game,3.27,604,9820,0,1.0
6166259507,luna,lion,hoodwink,undying,spectre,tidehunter,earthshaker,ursa,sniper,lycan,00:35:15,late game,3.27,3552,19181,1,1.0
6166259507,luna,lion,hoodwink,undying,spectre,tidehunter,earthshaker,ursa,sniper,lycan,00:38:27,superlate game,3.27,7054,25231,3,1.0
6166259689,mirana,bloodseeker,slark,invoker,ogre-magi,storm-spirit,pangolier,windranger,weaver,spectre,00:11:46,early game,0.45,930,878,0,0.0
6166259689,mirana,bloodseeker,slark,invoker,ogre-magi,storm-spirit,pangolier,windranger,weaver,spectre,00:24:00,mid game,0.45,-1647,-2294,-8,0.0
6166259689,mirana,bloodseeker,slark,invoker,ogre-magi,storm-spirit,pangolier,windranger,weaver,spectre,00:33:59,late game,0.45,-9926,-19291,-15,0.0
6166259689,mirana,bloodseeker,slark,invoker,ogre-magi,storm-spirit,pangolier,windranger,weaver,spectre,00:39:40,superlate game,0.45,-22543,-39548,-23,0.0
6166259710,shadow-fiend,weaver,luna,pudge,pugna,phantom-assassin,chaos-knight,lion,bristleback,vengeful-spirit,00:07:31,early game,-6.82,-235,-624,-2,0.0
6166259710,shadow-fiend,weaver,luna,pudge,pugna,phantom-assassin,chaos-knight,lion,bristleback,vengeful-spirit,00:25:52,mid game,-6.82,3634,7326,-6,0.0
6166259710,shadow-fiend,weaver,luna,pudge,pugna,phantom-assassin,chaos-knight,lion,bristleback,vengeful-spirit,00:34:16,late game,-6.82,2748,9973,-8,0.0
6166259710,shadow-fiend,weaver,luna,pudge,pugna,phantom-assassin,chaos-knight,lion,bristleback,vengeful-spirit,00:39:36,superlate game,-6.82,-4048,2611,-11,0.0
6166260731,spectre,winter-wyvern,void-spirit,treant-protector,dawnbreaker,rubick,vengeful-spirit,hoodwink,luna,pangolier,00:11:55,early game,4.7,3015,4712,8,1.0
6166260731,spectre,winter-wyvern,void-spirit,treant-protector,dawnbreaker,rubick,vengeful-spirit,hoodwink,luna,pangolier,00:24:36,mid game,4.7,11116,18278,22,1.0
6166260731,spectre,winter-wyvern,void-spirit,treant-protector,dawnbreaker,rubick,vengeful-spirit,hoodwink,luna,pangolier,00:32:59,late game,4.7,17448,36519,32,1.0
6166260731,spectre,winter-wyvern,void-spirit,treant-protector,dawnbreaker,rubick,vengeful-spirit,hoodwink,luna,pangolier,00:39:43,superlate game,4.7,28495,54040,41,1.0
6166261622,faceless-void,monkey-king,pudge,huskar,lina,ancient-apparition,tinker,necrophos,hoodwink,phantom-lancer,00:08:56,early game,-15.36,-1019,476,1,0.0
6166261622,faceless-void,monkey-king,pudge,huskar,lina,ancient-apparition,tinker,necrophos,hoodwink,phantom-lancer,00:17:53,mid game,-15.36,-2862,-772,-2,0.0
6166261622,faceless-void,monkey-king,pudge,huskar,lina,ancient-apparition,tinker,necrophos,hoodwink,phantom-lancer,00:33:51,late game,-15.36,-23845,-40141,-21,0.0
6166261622,faceless-void,monkey-king,pudge,huskar,lina,ancient-apparition,tinker,necrophos,hoodwink,phantom-lancer,00:40:43,superlate game,-15.36,-32004,-62639,-34,0.0
6166263970,spirit-breaker,lycan,disruptor,medusa,clinkz,windranger,sand-king,wraith-king,ogre-magi,mirana,00:10:06,early game,1.84,-220,-1691,-1,0.0
6166263970,spirit-breaker,lycan,disruptor,medusa,clinkz,windranger,sand-king,wraith-king,ogre-magi,mirana,00:17:14,mid game,1.84,1032,-4355,-5,0.0
6166263970,spirit-breaker,lycan,disruptor,medusa,clinkz,windranger,sand-king,wraith-king,ogre-magi,mirana,00:33:49,late game,1.84,-17492,-30449,-18,0.0
6166263970,spirit-breaker,lycan,disruptor,medusa,clinkz,windranger,sand-king,wraith-king,ogre-magi,mirana,00:38:04,superlate game,1.84,-23236,-49168,-24,0.0
6166264878,anti-mage,undying,silencer,shadow-shaman,kunkka,shadow-fiend,ursa,witch-doctor,magnus,underlord,00:00:11,early game,-4.73,-336,-52,-1,1.0
6166264878,anti-mage,undying,silencer,shadow-shaman,kunkka,shadow-fiend,ursa,witch-doctor,magnus,underlord,00:25:42,mid game,-4.73,8933,14358,-1,1.0
6166264878,anti-mage,undying,silencer,shadow-shaman,kunkka,shadow-fiend,ursa,witch-doctor,magnus,underlord,00:32:16,late game,-4.73,22273,29506,4,1.0
6166264878,anti-mage,undying,silencer,shadow-shaman,kunkka,shadow-fiend,ursa,witch-doctor,magnus,underlord,00:39:32,superlate game,-4.73,30575,39204,6,1.0
6166265154,medusa,lich,zeus,centaur-warrunner,lina,huskar,viper,windranger,meepo,earth-spirit,00:11:01,early game,16.41,-3236,-3753,-7,1.0
6166265154,medusa,lich,zeus,centaur-warrunner,lina,huskar,viper,windranger,meepo,earth-spirit,00:26:19,mid game,16.41,-3927,-3326,-3,1.0
6166265154,medusa,lich,zeus,centaur-warrunner,lina,huskar,viper,windranger,meepo,earth-spirit,00:33:26,late game,16.41,-78,6996,0,1.0
6166265154,medusa,lich,zeus,centaur-warrunner,lina,huskar,viper,windranger,meepo,earth-spirit,00:38:24,superlate game,16.41,7386,29279,9,1.0
6166265739,monkey-king,vengeful-spirit,lifestealer,spirit-breaker,juggernaut,zeus,lina,witch-doctor,sand-king,grimstroke,00:04:03,early game,1.91,677,414,1,1.0
6166265739,monkey-king,vengeful-spirit,lifestealer,spirit-breaker,juggernaut,zeus,lina,witch-doctor,sand-king,grimstroke,00:18:08,mid game,1.91,1263,5838,6,1.0
6166265739,monkey-king,vengeful-spirit,lifestealer,spirit-breaker,juggernaut,zeus,lina,witch-doctor,sand-king,grimstroke,00:28:31,late game,1.91,7586,14552,13,1.0
6166265739,monkey-king,vengeful-spirit,lifestealer,spirit-breaker,juggernaut,zeus,lina,witch-doctor,sand-king,grimstroke,00:37:30,superlate game,1.91,19783,58255,27,1.0
6166266023,lich,sniper,wraith-king,winter-wyvern,clockwerk,mirana,bloodseeker,juggernaut,treant-protector,pudge,00:15:17,early game,-1.11,-1977,-626,-2,0.0
6166266023,lich,sniper,wraith-king,winter-wyvern,clockwerk,mirana,bloodseeker,juggernaut,treant-protector,pudge,00:26:53,mid game,-1.11,-16059,-25412,-15,0.0
6166266023,lich,sniper,wraith-king,winter-wyvern,clockwerk,mirana,bloodseeker,juggernaut,treant-protector,pudge,00:36:46,late game,-1.11,-31746,-50619,-27,0.0
6166266023,lich,sniper,wraith-king,winter-wyvern,clockwerk,mirana,bloodseeker,juggernaut,treant-protector,pudge,00:38:47,superlate game,-1.11,-37653,-64469,-34,0.0
6166266028,slark,bristleback,juggernaut,dark-willow,hoodwink,sven,windranger,spirit-breaker,lifestealer,lion,00:11:49,early game,-2.32,-506,-3141,-2,0.0
6166266028,slark,bristleback,juggernaut,dark-willow,hoodwink,sven,windranger,spirit-breaker,lifestealer,lion,00:24:27,mid game,-2.32,-6394,-9497,-7,0.0
6166266028,slark,bristleback,juggernaut,dark-willow,hoodwink,sven,windranger,spirit-breaker,lifestealer,lion,00:31:06,late game,-2.32,1726,9792,2,0.0
6166266028,slark,bristleback,juggernaut,dark-willow,hoodwink,sven,windranger,spirit-breaker,lifestealer,lion,00:37:48,superlate game,-2.32,-12709,-17606,-6,0.0
6166266475,sniper,bristleback,winter-wyvern,juggernaut,queen-of-pain,dawnbreaker,viper,phantom-assassin,lich,magnus,00:02:18,early game,3.05,-751,-479,-2,0.0
6166266475,sniper,bristleback,winter-wyvern,juggernaut,queen-of-pain,dawnbreaker,viper,phantom-assassin,lich,magnus,00:25:59,mid game,3.05,-11455,-21416,-15,0.0
6166266475,sniper,bristleback,winter-wyvern,juggernaut,queen-of-pain,dawnbreaker,viper,phantom-assassin,lich,magnus,00:31:00,late game,3.05,-18148,-32491,-20,0.0
6166266475,sniper,bristleback,winter-wyvern,juggernaut,queen-of-pain,dawnbreaker,viper,phantom-assassin,lich,magnus,00:37:06,superlate game,3.05,-32229,-54457,-31,0.0
6166268414,silencer,wraith-king,lion,treant-protector,axe,pudge,morphling,crystal-maiden,dark-willow,faceless-void,00:00:53,early game,5.15,-750,275,0,1.0
6166268414,silencer,wraith-king,lion,treant-protector,axe,pudge,morphling,crystal-maiden,dark-willow,faceless-void,00:23:18,mid game,5.15,8761,12352,11,1.0
6166268414,silencer,wraith-king,lion,treant-protector,axe,pudge,morphling,crystal-maiden,dark-willow,faceless-void,00:27:42,late game,5.15,7948,12436,13,1.0
6166269313,keeper-of-the-light,mars,lich,enigma,pudge,juggernaut,ogre-magi,lion,morphling,slardar,00:08:59,early game,2.05,2223,3124,3,0.0
6166269313,keeper-of-the-light,mars,lich,enigma,pudge,juggernaut,ogre-magi,lion,morphling,slardar,00:25:48,mid game,2.05,6607,10821,22,0.0
6166269313,keeper-of-the-light,mars,lich,enigma,pudge,juggernaut,ogre-magi,lion,morphling,slardar,00:28:58,late game,2.05,2959,996,18,0.0
6166269313,keeper-of-the-light,mars,lich,enigma,pudge,juggernaut,ogre-magi,lion,morphling,slardar,00:37:18,superlate game,2.05,-18860,-38576,1,0.0
6166273132,slark,axe,ogre-magi,void-spirit,mirana,dazzle,troll-warlord,magnus,dragon-knight,rubick,00:08:36,early game,5.33,4216,3470,12,1.0
6166273132,slark,axe,ogre-magi,void-spirit,mirana,dazzle,troll-warlord,magnus,dragon-knight,rubick,00:26:59,mid game,5.33,15098,21406,31,1.0
6166273132,slark,axe,ogre-magi,void-spirit,mirana,dazzle,troll-warlord,magnus,dragon-knight,rubick,00:28:33,late game,5.33,22242,30591,38,1.0
6166273882,dragon-knight,monkey-king,vengeful-spirit,juggernaut,sniper,shadow-shaman,queen-of-pain,spectre,tiny,windranger,00:01:09,early game,-9.52,159,362,0,1.0
6166273882,dragon-knight,monkey-king,vengeful-spirit,juggernaut,sniper,shadow-shaman,queen-of-pain,spectre,tiny,windranger,00:25:54,mid game,-9.52,8425,11219,6,1.0
6166273882,dragon-knight,monkey-king,vengeful-spirit,juggernaut,sniper,shadow-shaman,queen-of-pain,spectre,tiny,windranger,00:32:36,late game,-9.52,14570,18036,11,1.0
6166274105,doom,spirit-breaker,invoker,skywrath-mage,mirana,omniknight,pudge,windranger,slark,sand-king,00:04:39,early game,5.45,-377,-665,-2,0.0
6166274105,doom,spirit-breaker,invoker,skywrath-mage,mirana,omniknight,pudge,windranger,slark,sand-king,00:25:03,mid game,5.45,-10890,-18114,-8,0.0
6166274105,doom,spirit-breaker,invoker,skywrath-mage,mirana,omniknight,pudge,windranger,slark,sand-king,00:29:09,late game,5.45,-22393,-34242,-16,0.0
6166274655,witch-doctor,venomancer,pudge,monkey-king,axe,timbersaw,shadow-shaman,puck,phantom-lancer,skywrath-mage,00:02:33,early game,-4.71,-646,44,-1,0.0
6166274655,witch-doctor,venomancer,pudge,monkey-king,axe,timbersaw,shadow-shaman,puck,phantom-lancer,skywrath-mage,00:21:48,mid game,-4.71,-14975,-19902,-23,0.0
6166274655,witch-doctor,venomancer,pudge,monkey-king,axe,timbersaw,shadow-shaman,puck,phantom-lancer,skywrath-mage,00:28:42,late game,-4.71,-23389,-36362,-34,0.0
6166274804,tiny,witch-doctor,pudge,faceless-void,chaos-knight,wraith-king,hoodwink,zeus,omniknight,earthshaker,00:06:38,early game,-2.25,788,840,2,0.0
6166274804,tiny,witch-doctor,pudge,faceless-void,chaos-knight,wraith-king,hoodwink,zeus,omniknight,earthshaker,00:18:38,mid game,-2.25,4090,6776,11,0.0
6166274804,tiny,witch-doctor,pudge,faceless-void,chaos-knight,wraith-king,hoodwink,zeus,omniknight,earthshaker,00:29:50,late game,-2.25,-8792,-17482,6,0.0
6166275909,spectre,windranger,queen-of-pain,death-prophet,tusk,pugna,lich,luna,tidehunter,slark,00:06:09,early game,6.23,468,-288,3,0.0
6166275909,spectre,windranger,queen-of-pain,death-prophet,tusk,pugna,lich,luna,tidehunter,slark,00:17:42,mid game,6.23,-2876,-4693,-2,0.0
6166275909,spectre,windranger,queen-of-pain,death-prophet,tusk,pugna,lich,luna,tidehunter,slark,00:28:05,late game,6.23,-12966,-20212,-12,0.0
6166276080,death-prophet,silencer,monkey-king,bounty-hunter,juggernaut,faceless-void,storm-spirit,dawnbreaker,pudge,bane,00:12:15,early game,7.26,-745,-1318,-4,1.0
6166276080,death-prophet,silencer,monkey-king,bounty-hunter,juggernaut,faceless-void,storm-spirit,dawnbreaker,pudge,bane,00:23:33,mid game,7.26,1643,3900,1,1.0
6166276080,death-prophet,silencer,monkey-king,bounty-hunter,juggernaut,faceless-void,storm-spirit,dawnbreaker,pudge,bane,00:28:42,late game,7.26,3178,1635,0,1.0
6166277552,kunkka,dawnbreaker,keeper-of-the-light,monkey-king,vengeful-spirit,earthshaker,pudge,anti-mage,timbersaw,zeus,00:01:21,early game,9.73,130,425,0,1.0
6166277552,kunkka,dawnbreaker,keeper-of-the-light,monkey-king,vengeful-spirit,earthshaker,pudge,anti-mage,timbersaw,zeus,00:20:34,mid game,9.73,9022,9697,10,1.0
6166277552,kunkka,dawnbreaker,keeper-of-the-light,monkey-king,vengeful-spirit,earthshaker,pudge,anti-mage,timbersaw,zeus,00:30:59,late game,9.73,22637,25926,20,1.0
6166278157,monkey-king,disruptor,axe,razor,skywrath-mage,crystal-maiden,zeus,shadow-fiend,clinkz,legion-commander,00:16:06,early game,-0.63,7306,12072,15,1.0
6166278157,monkey-king,disruptor,axe,razor,skywrath-mage,crystal-maiden,zeus,shadow-fiend,clinkz,legion-commander,00:20:45,mid game,-0.63,11383,20701,24,1.0
6166278157,monkey-king,disruptor,axe,razor,skywrath-mage,crystal-maiden,zeus,shadow-fiend,clinkz,legion-commander,00:30:55,late game,-0.63,29785,49539,41,1.0
6166281097,juggernaut,enigma,grimstroke,windranger,ursa,earthshaker,shadow-fiend,vengeful-spirit,timbersaw,drow-ranger,00:03:53,early game,3.28,435,279,1,1.0
6166281097,juggernaut,enigma,grimstroke,windranger,ursa,earthshaker,shadow-fiend,vengeful-spirit,timbersaw,drow-ranger,00:18:49,mid game,3.28,700,2057,5,1.0
6166281097,juggernaut,enigma,grimstroke,windranger,ursa,earthshaker,shadow-fiend,vengeful-spirit,timbersaw,drow-ranger,00:28:17,late game,3.28,18199,28355,21,1.0
6166283400,centaur-warrunner,bane,dazzle,morphling,slark,tidehunter,mirana,sniper,terrorblade,shadow-shaman,00:12:20,early game,5.57,-5383,-6750,-14,0.0
6166283400,centaur-warrunner,bane,dazzle,morphling,slark,tidehunter,mirana,sniper,terrorblade,shadow-shaman,00:26:22,mid game,5.57,-25310,-29672,-30,0.0
6166283400,centaur-warrunner,bane,dazzle,morphling,slark,tidehunter,mirana,sniper,terrorblade,shadow-shaman,00:27:57,late game,5.57,-24387,-26149,-28,0.0
6166284620,windranger,slark,silencer,anti-mage,legion-commander,sven,batrider,magnus,kunkka,jakiro,00:10:55,early game,5.81,214,1670,0,1.0
6166284620,windranger,slark,silencer,anti-mage,legion-commander,sven,batrider,magnus,kunkka,jakiro,00:24:52,mid game,5.81,13790,18070,4,1.0
6166284620,windranger,slark,silencer,anti-mage,legion-commander,sven,batrider,magnus,kunkka,jakiro,00:28:14,late game,5.81,24217,29305,10,1.0
6166284623,morphling,winter-wyvern,dragon-knight,rubick,juggernaut,anti-mage,luna,legion-commander,shadow-shaman,magnus,00:12:01,early game,-1.3,-1361,546,-2,0.0
